ENSG00000178403.3	NEUROG2
ENSG00000178573.6	MAF
ENSG00000178764.7	ZHX2
ENSG00000178935.5	ZNF552
ENSG00000178951.8	ZBTB7A
ENSG00000179059.9	ZFP42
ENSG00000179195.15	ZNF664
ENSG00000179348.11	GATA2
ENSG00000179456.10	ZBTB18
ENSG00000179627.9	ZBTB42
ENSG00000179909.15	ZNF154
ENSG00000179922.5	ZNF784
ENSG00000179981.10	TSHZ1
ENSG00000180035.12	ZNF48
ENSG00000180257.13	ZNF816
ENSG00000180479.13	ZNF571
ENSG00000180532.10	ZSCAN4
ENSG00000180787.5	ZFP3
ENSG00000180828.2	BHLHE22
ENSG00000180855.15	ZNF443
ENSG00000180884.9	ZNF792
ENSG00000181007.8	ZFP82
ENSG00000181135.15	ZNF707
ENSG00000181315.10	ZNF322
ENSG00000181444.12	ZNF467
ENSG00000181449.3	SOX2
ENSG00000181472.4	ZBTB2
ENSG00000181638.17	ZFP41
ENSG00000181666.17	HKR1
ENSG00000181690.7	PLAG1
ENSG00000181722.16	ZBTB20
ENSG00000181894.14	ZNF329
ENSG00000181896.11	ZNF101
ENSG00000182111.8	ZNF716
ENSG00000182141.10	ZNF708
ENSG00000182318.5	ZSCAN22
ENSG00000182568.16	SATB1
ENSG00000182983.14	ZNF662
ENSG00000182986.13	ZNF320
ENSG00000183072.9	NKX2-5
ENSG00000183309.11	ZNF623
ENSG00000183647.10	ZNF530
ENSG00000183850.13	ZNF730
ENSG00000184517.11	ZFP1
ENSG00000184635.15	ZNF93
ENSG00000184677.17	ZBTB40
ENSG00000184937.13	WT1
ENSG00000184939.15	ZFP90
ENSG00000185022.11	MAFF
ENSG00000185122.10	HSF1
ENSG00000185155.11	MIXL1
ENSG00000185177.12	ZNF479
ENSG00000185219.16	ZNF445
ENSG00000185252.18	ZNF74
ENSG00000185551.14	NR2F2
ENSG00000185591.9	SP1
ENSG00000185630.18	PBX1
ENSG00000185811.18	IKZF1
ENSG00000185947.14	ZNF267
ENSG00000186017.14	ZNF566
ENSG00000186020.12	ZNF529
ENSG00000186026.6	ZNF284
ENSG00000186130.4	ZBTB6
ENSG00000186230.6	ZNF749
ENSG00000186272.12	ZNF17
ENSG00000186300.11	ZNF555
ENSG00000186350.10	RXRA
ENSG00000186446.11	ZNF501
ENSG00000186448.14	ZNF197
ENSG00000186660.14	ZFP91
ENSG00000186814.13	ZSCAN30
ENSG00000186918.13	ZNF395
ENSG00000187079.16	TEAD1
ENSG00000187098.15	MITF
ENSG00000187605.15	TET3
ENSG00000187801.14	ZFP69B
ENSG00000187815.9	ZFP69
ENSG00000187987.9	ZSCAN23
ENSG00000188033.9	ZNF490
ENSG00000188171.15	ZNF626
ENSG00000188283.11	ZNF383
ENSG00000188295.14	ZNF669
ENSG00000188785.11	ZNF548
ENSG00000188868.13	ZNF563
ENSG00000188994.12	ZNF292
ENSG00000189042.13	ZNF567
ENSG00000189079.15	ARID2
ENSG00000189144.13	ZNF573
ENSG00000189164.14	ZNF527
ENSG00000189180.15	ZNF33A
ENSG00000189190.10	ZNF600
ENSG00000189298.13	ZKSCAN3
ENSG00000196092.12	PAX5
ENSG00000196150.13	ZNF250
ENSG00000196152.10	ZNF79
ENSG00000196172.9	ZNF681
ENSG00000196214.10	ZNF766
ENSG00000196268.11	ZNF493
ENSG00000196323.13	ZBTB44
ENSG00000196357.11	ZNF565
ENSG00000196378.11	ZNF34
ENSG00000196381.10	ZNF781
ENSG00000196387.9	ZNF140
ENSG00000196391.10	ZNF774
ENSG00000196417.12	ZNF765
ENSG00000196418.12	ZNF124
ENSG00000196453.7	ZNF777
ENSG00000196458.10	ZNF605
ENSG00000196466.10	ZNF799
ENSG00000196597.11	ZNF782
ENSG00000196605.7	ZNF846
ENSG00000196628.16	TCF4
ENSG00000196646.11	ZNF136
ENSG00000196652.11	ZKSCAN5
ENSG00000196653.11	ZNF502
ENSG00000196693.14	ZNF33B
ENSG00000196700.8	ZNF512B
ENSG00000196705.8	ZNF431
ENSG00000196724.12	ZNF418
ENSG00000196793.13	ZNF239
